nomor_memo_dinas,bulan_masuk,tahun_masuk,tgl_memo,tgl_upload,nomor_permohonan,nama_pemohon,nama_alat_perangkat,merk_model_type,merk,negara_pembuat,keterangan
540/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,499,PT. Sinar Mentari Era Jaya,108M Wireless Access Point,TP-LINK / TL-WA601G,TP-LINK,China,
541/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,500,PT. Sinar Mentari Era Jaya,108M Wireless ADSL2 + Router,TP-LINK / TD-W8920G,TP-LINK,China,
542/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,497,PT. Sinar Mentari Era Jaya,108M Wireless CardBus Adapter,TP-LINK / TL-WN610G,TP-LINK,China,
543/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,402,Buffalo Inc.,Air Station,Buffalo / WCR-G54,Buffalo,Taiwan,
544/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,426,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 7G Antenna 7.125-7.725 GHz,Putian,China,
545/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,427,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 13G Antenna 12.75-13.25 GHz,Putian,China,
546/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,428,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 15G Antenna 14.40-15.35 GHz,Putian,China,
547/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,494,DENSO CORPORATION,Remote Keyless Entry System (Receiver),DENSO / 13CZD,DENSO,Japan,
548/BBPPT/IV/08,April,2008,2008-04-30,2-May-08,495,"Tokai Rika Co.,Ltd",Immobilizer,Tokai Rika / B81UA,Tokai Rika,Japan,
549/BBPPT/V/08,Mei,2008,2-May-08,6-May-08,548,"Samsung Electronics Indonesia, PT.",Handphone,Samsung /Samsung GSM Type SGH-F480 (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,China,
550/BBPPT/V/08,Mei,2008,2-May-08,6-May-08,549,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-G810 (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,"Korea, Republic of",
551/BBPPT/V/08,Mei,2008,2-May-08,6-May-08,550,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-D780 (GSM 900/1800/1900 MHz),SAMSUNG,"Korea, Republic of",
552/BBPPT/V/08,Mei,2008,2-May-08,6-May-08,560,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / GF2000 (GSM900/1800 MHz),IMO,China,
553/BBPPT/V/08,Mei,2008,2-May-08,6-May-08,561,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / i700 (GSM900/1800/1900 MHz),IMO,China,
554/BBPPT/V/08,Mei,2008,2-May-08,6-May-08,562,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / i800 (GSM900/1800/1900 MHz),IMO,China,
555/BBPPT/V/08,Mei,2008,2-May-08,6-May-08,563,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / 900 (GSM900/1800/1900 MHz),IMO,China,
556/BBPPT/V/08,Mei,2008,2-May-08,6-May-08,564,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-i550W (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,"Korea, Republic of",
557/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,335,PT. Mitrasarana Indonippon Logistics,Antenna Receiver,Prodelin / 1451,Prodelin,United States,
558/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,424,Foxconn,Bluetooth,FOXCONN / BCM92046,Foxconn,Taiwan,
559/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,508,PT. Sojo Powerindo Perkasa,Single Line Telephone,LG / GS-5140,LG,Vietnam,
560/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,509,"ALITA PRAYAMITRA, PT.",Microwave Antenna,GRANTE High Performance Antenna ( HPA 0.6S71SR ),GRANTE High Performance Antenna ( HPA 0.6S71SR ),Hungary,
561/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,565,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-M120 (GSM 900/1800 MHz),SAMSUNG,"Korea, Republic of",
562/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,566,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-M620 (GSM 900/1800/1900 MHz),SAMSUNG,"Korea, Republic of",
563/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,567,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-F400 (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,"Korea, Republic of",
564/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,478,PT. Subur Semesta,USB Wireless CDMA Modem 2000 1x RTT,Venus / VT 12,VENUS,Indonesia,
565/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,479,PT. Subur Semesta,USB Wireless CDMA Modem 2000 1x RTT,Venus / VT 80,VENUS,Indonesia,
566/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,480,PT. Subur Semesta,USB Wireless CDMA Modem 2000 1x RTT,Venus / VT 21,VENUS,Indonesia,
567/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,533,PT. Procell Indonesia,Telepon Selular,Beyond / B 828 (HS-12),Beyond,China,
568/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,578,PT. Telgam Indo Intim,Handphone / TV Mobile Dual Working GSM + GSM,Swaahoo / S909,SWAAHOO,China,
569/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,579,PT. Wenxin Elektronika Teknologi,Handphone,Exint / E1100,EXINT,China,
570/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,580,PT. Wenxin Elektronika Teknologi,Handphone,Exint / C6000,EXINT,China,
571/BBPPT/V/08,Mei,2008,7-May-08,8-May-08,581,PT. Dian Graha Elektrika,GSM Phone,BenQ / C36,BenQ,China,
524/BBPPT/IV/08,April,2008,8-May-08,9-May-08,316,"Avaya Singapore,Pte.Ltd.",PABX,Avaya / G450 Media Gateway,Avaya,United States,
527/BBPPT/IV/08,April,2008,8-May-08,9-May-08,448,PT. Multi Graha Teknika,Modem,Wabtec / MCC-545,Wabtec,United States,
534/BBPPT/IV/08,April,2008,8-May-08,9-May-08,264,PT. Andalan Putra Manikam,Handphone 2 Mode (GSM-CDMA),"Altrec / CE 80i (GSM 900/1800 MHz, CDMA 800 MHz)",Altrec,China,
572/BBPPT/V/08,Mei,2008,7-May-08,9-May-08,516,PT. Hayam Wuruk Permai,VHF Air Band Transceiver,Icom / Icom IC-A6,ICOM,Japan,
573/BBPPT/V/08,Mei,2008,7-May-08,9-May-08,517,PT. Hayam Wuruk Permai,VHF HT Transceiver,Icom / IC-F33GT,ICOM,Japan,
574/BBPPT/V/08,Mei,2008,7-May-08,9-May-08,518,PT. Hayam Wuruk Permai,VHF Mobile/Fixed Transceiver,Icom / IC-F121,ICOM,Japan,
575/BBPPT/V/08,Mei,2008,7-May-08,9-May-08,519,PT. Hayam Wuruk Permai,Marine DSC/VHF Radio Telephone,Samyung / STR-6000A,SAMYUNG,"Korea, Republic of",
576/BBPPT/V/08,Mei,2008,7-May-08,9-May-08,520,PT. Hayam Wuruk Permai,Transceiver Ground to Air Radio,Telerad / Emry 990 A,Telerad,France,
577/BBPPT/V/08,Mei,2008,7-May-08,9-May-08,522,PT. Hayam Wuruk Permai,HF-SSB Mobile/Fixed,Motorola / MICOM-2 ES,Motorola,United States,
578/BBPPT/V/08,Mei,2008,7-May-08,9-May-08,523,PT. Hayam Wuruk Permai,MF/HF DSC NBDP Radio Equipment,Samyung / SRG-1150DN,SAMYUNG,"Korea, Republic of",
580/BBPPT/V/08,Mei,2008,7-May-08,9-May-08,559,PT. Bengawan Abadi Komputerindo,Wireless Handheld,BlackBerry 8320 / RBJ41GW,BLACKBERRY 8520,Canada,
583/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,547,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-E251 (GSM 900/1800/1900 MHz),SAMSUNG,China,
584/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,452,"MLW Telecom, PT.",Data Card HSDPA,Option / GI 0225/USB,OPTION,Belgia,
585/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,453,"MLW Telecom, PT.",Data Card HSDPA,Speedup / SU-8300U/USB,SPEEDUP,China,
586/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,380,PT. Buanatama Terang Sejahtera,Base Panel Directional Antenna,Z-Stone / TQWTD-15090-08V,Z-Stone,China,
587/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,381,PT. Buanatama Terang Sejahtera,Antenna Mix Corner Reflector Directional,Z-Stone / TQWTC-17045-08/09V,Z-Stone,China,
588/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,507,"NEC Indonesia, PT.",Antenna,Andrew / VHLP2-7W Frekuensi 7 GHz,Andrew,Czech Republic,
589/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,510,PT. Mega Berkat Abadi,Dual Port ADSL 2+ Router,Ethernet / ADSL Modem JK DB108-E,Ethernet,China,
590/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,511,"Zyrexindo Mandiri Buana, PT.",Modem,Compal / ML3054,Compal,Taiwan,
591/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,512,PT. Suryajaya Teknotama,Radio Microwave PDH,"SIAE Microelettronica S.p.A / ELFO Rel.2, 15 GHz, Horizontal/Vertical, HP, 0.3M (Integrated)",SIAE Microelettronica S.p.A,Italy,
592/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,514,PT. Sentrakom Indonusantara,Radio Link,Jharden / Jharden JHT-07SA Radio Link (7 GHz),Jharden,China,
593/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,515,Philips Consumer Electronics,Dect Phone (PP+FP),Philips / CD150,PHILIPS,Hongkong,
594/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,529,"ZTE Indonesia, PT.",Base Station Antenna,Mobi / MB800-65-18DT2,MOBI,China,
595/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,531,"ZTE Indonesia, PT.",Base Station Antenna,Mobi / MB800-90-17DT2,MOBI,China,
596/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,530,"ZTE Indonesia, PT.",Base Station Antenna,Andrew / DB858DG90ESX,Andrew,United States,
599/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,534,PT. Procell Indonesia,Telepon Selular,Beyond / B 588 (SL-76),Beyond,China,
600/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,553,PT. Suryajaya Teknotama,Antenna Dual Polarized,Andrew / HBX-6516DS-VTM,Andrew,China,
601/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,554,PT. Suryajaya Teknotama,Antenna Dual Polarized,Andrew / CTSDG-06516-XDM,Andrew,China,
602/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,583,PT. Cipta Guna Data Infotek Solusindo,Smart Phone,BlackBerry / Curve 8310 (GSM850/900/1800/1900 MHz),BlackBerry,Canada,
603/BBPPT/V/08,Mei,2008,8-May-08,9-May-08,584,Sony Ericsson Com. AB (Seab),Mobile Phone,"Sony Ericsson / G502, GSM/UMTS/HSDPA, 900/1800/1900/2100 MHz",Sony Ericsson,China,
607/BBPPT/V/08,Mei,2008,9-May-08,13-May-08,266,"NEC Indonesia, PT.",Radio Microwave,"NEC / Pasolink NEO Kapasitas STM-1, Frekuensi 23 GHz",NEC,Japan,
608/BBPPT/V/08,Mei,2008,9-May-08,13-May-08,267,"NEC Indonesia, PT.",Radio Microwave,"NEC / Pasolink NEO Kapasitas STM-1, Frekuensi 18 GHz",NEC,Japan,
609/BBPPT/V/08,Mei,2008,9-May-08,13-May-08,268,"NEC Indonesia, PT.",Radio Microwave,NEC / Pasolink NEO/c Kaoasitas 16E1 Frekuensi 23 GHz,NEC,Japan,
610/BBPPT/V/08,Mei,2008,9-May-08,13-May-08,269,"NEC Indonesia, PT.",Radio Microwave,NEC / Pasolink NEO/c Kapasitas 16E1 Frekuensi 18 GHz,NEC,Japan,
611/BBPPT/V/08,Mei,2008,9-May-08,13-May-08,513,PT. Suryajaya Teknotama,Radio Microwave PDH,"SIAE Microelettronica S.p.A. /ELFO Rel.2, 15 GHz, Horizontal/Vertical, HP, 0.6M (Integrated)",SIAE Microelettronica S.p.A,Italy,
612/BBPPT/V/08,Mei,2008,9-May-08,13-May-08,551,PT. Suryajaya Teknotama,Radio Microwave PDH,"SIAE Microelettronica S.p.A / ELFO 15 GHz, Horizontal/Vertical, HP,0.6M (Integrated)",SIAE Microelettronica S.p.A,Italy,
613/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,411,GARMIN Corporation,GPS,Garmin / Colorado 300,GARMIN,Taiwan,
614/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,418,Dell Inc,"Notebook PC with Integrated 13,56 MHz RFID",Dell / PP30L,DELL,United States,
615/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,492,PT. Surya Citra Nata Buana,Mobile Terminal ,Teltronic / M-4000/Frequency 145-179 MHz,TELTRONICS,Spain,
616/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,521,PT. Hayam Wuruk Permai,VHF Multimode Receivers,Telerad / RE 9000 A,Telerad,France,
617/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,586,"ZTE Indonesia, PT.",Handset CDMA,ZTE / ZTE X 178 (CDMA 1900 MHz),ZTE,China,
618/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,587,"ZTE Indonesia, PT.",Handset CDMA,ZTE / ZTE X 177 (CDMA 1900 MHz),ZTE,China,
619/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,594,PT. Madya Pratama Expresindo,Telepon Selular,MY G / MY G 901,My G,China,
620/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,600,PT. Dynatama Internusa,Handphone/TV Phone/Dual Sim Card,TITAN / T999i/GSM/Dualband/900/1800 MHz,TITAN,China,
621/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,602,PT. Dynatama Internusa,Handphone/TV Phone/Dual Sim Card,TITAN / T888i/GSM/Dualband/900/1800 MHz,TITAN,China,
622/BBPPT/V/08,Mei,2008,12-May-08,13-May-08,611,PT. Metrotech Jaya Komunika,CDMA Mobile Phone,Nexian / NX-980 (CDMA 800 MHz),NEXIAN,China,
579/BBPPT/V/08,Mei,2008,13-May-08,14-May-08,532,PT. Procell Indonesia,Telepon Selular,Beyond / B 950 (PD-28),Beyond,China,
581/BBPPT/V/08,Mei,2008,13-May-08,14-May-08,568,PT. Aneka Kurnia Indah,Handphone,EXISS / E 188,EXISS,China,
582/BBPPT/V/08,Mei,2008,13-May-08,14-May-08,576,PT. Telgam Indo Intim,Handphone / TV Mobile Dual Working GSM+CDMA,Swaahoo / S96,SWAAHOO,China,
604/BBPPT/V/08,Mei,2008,13-May-08,14-May-08,590,PT. Madya Pratama Expresindo,Telepon Selular,MY G / MY G 300,My G,China,
605/BBPPT/V/08,Mei,2008,13-May-08,14-May-08,591,PT. Madya Pratama Expresindo,Telepon Selular,MY G / MY G 819,My G,China,
606/BBPPT/V/08,Mei,2008,13-May-08,14-May-08,593,PT. Madya Pratama Expresindo,Telepon Selular,MY G / MY G 200,My G,China,
597/BBPPT/V/08,Mei,2008,14-May-08,19-May-08,464,PT. iForte Solusi Infotek,Wireless Broadband,SonicWALL / Sonic WALL TZ 190,SonicWALL,United States,
598/BBPPT/V/08,Mei,2008,15-May-08,19-May-08,488,PT. Konten Indomedia Pratama,Dual Mode Mobile Phone (GSM+CDMA),IMO / TV 600c (GSM900/1800 & CDMA 800 MHz),IMO,China,
623/BBPPT/V/08,Mei,2008,16-May-08,19-May-08,211,3Com Corporation,3Com OfficeConnect ADSL Wireless 108Mbps 11g Cable/DSL Firewall Router,3Com / WL-553 / 3CRWDR200A-75,3Com,China,
625/BBPPT/V/08,Mei,2008,16-May-08,19-May-08,470,PT. Tirta Citra Nusantara,Telepon Selular,Startech / ST22 Dual Band GSM900/1800 MHz,Startech,China,
