id,nomor_memo_dinas,tahun_masuk,bulan_masuk,tgl_memo,tgl_upload,nomor_permohonan,nama_pemohon,nama_alat_perangkat,merk_model_type,merk,negara_pembuat,keterangan
S00001,540/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,499,PT. Sinar Mentari Era Jaya,108M Wireless Access Point,TP-LINK / TL-WA601G,TP-LINK,Tiongkok,
S00002,541/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,500,PT. Sinar Mentari Era Jaya,108M Wireless ADSL2 + Router,TP-LINK / TD-W8920G,TP-LINK,Tiongkok,
S00003,542/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,497,PT. Sinar Mentari Era Jaya,108M Wireless CardBus Adapter,TP-LINK / TL-WN610G,TP-LINK,Tiongkok,
S00004,543/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,402,Buffalo Inc.,Air Station,Buffalo / WCR-G54,BUFFALO,Taiwan,
S00005,544/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,426,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 7G Antenna 7.125-7.725 GHz,PUTIAN,Tiongkok,
S00006,545/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,427,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 13G Antenna 12.75-13.25 GHz,PUTIAN,Tiongkok,
S00007,546/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,428,"Smart Telecom, PT.",Antenna Radio Microwave,PUTIAN / 15G Antenna 14.40-15.35 GHz,PUTIAN,Tiongkok,
S00008,547/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,494,DENSO CORPORATION,Remote Keyless Entry System (Receiver),DENSO / 13CZD,DENSO,Jepang,
S00009,548/BBPPT/IV/08,2008,April,2008-04-30,2-May-08,495,"Tokai Rika Co.,Ltd",Immobilizer,Tokai Rika / B81UA,TOKAI RIKA,Jepang,
S00010,549/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,548,"Samsung Electronics Indonesia, PT.",Handphone,Samsung /Samsung GSM Type SGH-F480 (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,Tiongkok,
S00011,550/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,549,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-G810 (GSM 900/1800/1900 MHz/WCDMA 2100 MHz),SAMSUNG,Korea Selatan,
S00012,551/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,550,"Samsung Electronics Indonesia, PT.",Handphone,Samsung / Samsung GSM Type SGH-D780 (GSM 900/1800/1900 MHz),SAMSUNG,Korea Selatan,
S00013,552/BBPPT/V/08,2008,Mei,2-May-08,6-May-08,560,PT. Konten Indomedia Pratama,GSM Mobile Phone,IMO / GF2000 (GSM900/1800 MHz),IMO,Tiongkok,
